model,DSR_LTE_mean,DSR_NR_mean,Util_mean,onband_lte_5%,onband_nr_5%,onband_lte_10%,onband_nr_10%,onband_lte_15%,onband_nr_15%,DSR_LTE_std,DSR_NR_std,Util_std
DDPG,0.9766954317330918,0.9799526573346798,0.7672042617797853,0.29,0.92,0.48,1.0,0.92,1.0,0.04768572241877746,0.019185455183072155,0.08947938850572869
QSAC,0.9869713996280638,0.9897655804457796,0.7612600189844767,0.91,0.71,0.98,0.86,0.99,0.94,0.019293615797330552,0.019787339739575274,0.06311438999973867
SAC,0.9477621647878087,0.9505944366520336,0.7177960203488668,0.53,0.55,0.8,1.0,0.99,1.0,0.053558359839909926,0.031327365784654934,0.07554191987452435
TD3,0.9995797836599892,0.9658414026511523,0.7704019314448038,0.12,0.74,0.94,1.0,0.99,1.0,0.004181099791775688,0.02377870694026682,0.09432867420609252
