step,reward,alloc_lte,alloc_nr,demand_lte,demand_nr,fairness
0,-0.07965706612909124,22.115042,20.19501,15.807496890441696,20.394081,0.9979448826702195
1,-0.027040519463702305,22.115389,20.195354,18.02470629280886,19.21998,0.9979450356900295
2,-0.01865789581010269,22.115547,20.195288,18.535121807859635,20.217695,0.9979445637408046
3,-0.028511999537760884,22.115572,20.194448,18.15824799570224,22.378908,0.9979425483283639
4,-0.029079488941325015,22.115309,20.193544,17.885658222440245,21.19555,0.9979410648590242
5,-0.020541668842315564,22.116507,20.192354,18.393919192003366,19.969004,0.9979359560907762
6,-0.01810488368028675,22.116379,20.191584,18.62489840317288,19.552782,0.9979344021805224
7,-0.010556022261309337,22.11374,20.192152,19.454179925866995,19.2449,0.9979411525722798
8,-0.01099900971787329,22.115288,20.190777,19.806531639451503,18.494652,0.9979349159164652
9,-0.013880513062346632,22.115913,20.195831,19.78304013093275,18.068966,0.9979449409253314
10,-0.023839158991434767,22.115522,20.194317,19.54080398531562,17.199553,0.997942265450521
11,-0.020939016570796457,22.11535,20.193905,18.49809167408793,19.04501,0.9979418749761637
12,-0.023500390251121113,22.115433,20.19435,18.2283463403716,21.015783,0.997942700780793
13,-0.03287888990796529,22.115412,20.194561,17.602414519526818,20.095201,0.9979432166459057
14,-0.026142692067975325,22.11569,20.193872,18.030089049653697,19.5937,0.9979410195755704
15,-0.03097356946016207,22.115759,20.193405,17.714249920764175,19.90603,0.9979399245822781
16,-0.00022654461177080406,22.115911,20.192215,21.688516557417213,20.031017,0.9979369504639991
17,-0.006434572237481227,22.115852,20.191753,19.93785525893642,19.592367,0.9979359482296609
18,-0.003861723257206472,22.115612,20.19193,20.51748922296756,19.402262,0.9979367463619206
19,-0.003797363805925881,22.115517,20.192505,21.38194041861469,18.694853,0.9979383157390675
20,-0.008359476183027298,22.11544,20.193901,20.68572028568762,18.204529,0.997941593515969
21,-0.003036288151457424,22.114672,20.194664,21.23621971785133,18.943604,0.9979447763229805
22,-0.0014828744119828139,22.11501,20.195057,20.97652844417124,20.10497,0.9979450552828516
23,-0.0025224230901720007,22.116268,20.194202,20.724445190119937,19.737844,0.9979405775341382
24,-0.018783419883775118,22.115036,20.194231,20.56155472642344,24.58184,0.9979430660534822
25,-0.017159326909308156,22.115381,20.189196,20.35647276110085,24.145947,0.9979311826412501
26,-0.020048031713044263,22.115559,20.191612,20.33062603055097,24.622921,0.9979362325756594
27,-0.017217677695831643,22.11528,20.190676,21.037915098734256,24.573673,0.9979346151763969
28,-0.02762084487911043,22.115505,20.18944,26.036456999429447,24.634848,0.9979315661306585
29,-0.027057868964639624,22.115479,20.19037,26.022171253397897,24.553501,0.9979335261571356
30,-0.01745913709094754,22.115446,20.18961,20.857206507635937,24.527514,0.9979318875299255
31,-0.015977998256832604,22.11547,20.19006,22.58030543180617,24.549368,0.997932935324681
32,-0.027152564316409854,22.11528,20.190584,25.981367891640662,24.602875,0.9979344101654868
33,-0.026551128758183322,22.113995,20.191488,25.793849315365296,24.652853,0.9979390603673786
34,-0.03577723591933389,22.114193,20.191687,18.534819864589416,24.778002,0.9979390989401191
35,-0.030638420168049463,22.116236,20.190653,18.780170082624657,24.396627,0.9979326999399325
36,-0.04154252815233199,22.114975,20.188961,17.99440363287476,24.4734,0.9979314880661297
37,-0.025097160425270028,22.11288,20.18222,19.52103282902988,24.626286,0.9979206500565575
38,-0.02423420423555305,22.1139,20.183098,19.655172413793103,24.6485,0.9979205326931091
39,-0.017163562657685767,22.116537,20.189304,20.922414672993916,24.509495,0.997928970914789
40,-0.02047058523279152,22.115822,20.186094,20.25878384984956,24.628735,0.9979234123275709
41,-0.021013637297457408,22.114151,20.181662,20.027340711819058,24.508678,0.9979168763047945
42,-0.02189984488044447,22.114687,20.183542,20.04087898498229,24.671589,0.9979199155895844
43,-0.02342502406505606,22.115099,20.193926,19.797356178416983,24.688599,0.9979423456844702
44,-0.023685754383192675,22.11544,20.193659,19.59215736818948,24.490675,0.997940962073303
45,-0.0257055474371349,22.11556,20.194193,19.4102616239099,24.592447,0.997942000516839
46,-0.01563640165490343,22.115904,20.192202,21.801746546822823,24.512629,0.9979368461950007
47,-0.026526515674976554,22.115528,20.191887,25.865717172205382,24.593493,0.9979369096431664
48,-0.03129463533811162,22.115496,20.190222,25.65218545886664,25.517202,0.9979332477952269
49,-0.026951941287583374,22.11564,20.191189,24.918824062088543,25.337143,0.9979352070352382
50,-0.02016073516294441,22.115652,20.191526,21.870258148709254,25.254824,0.997935849453539
51,-0.030435052227895713,22.114973,20.191893,19.508989545876894,25.476452,0.9979380563772314
52,-0.023670136757258486,22.11388,20.192791,20.609314344904483,25.39862,0.9979422966169288
53,-0.021137827068102272,22.114662,20.192785,20.85382398300452,25.131662,0.9979407776393829
54,-0.023236797998243606,22.11507,20.192297,20.90073519097271,25.482471,0.9979386722811266
55,-0.02230055447829351,22.115072,20.18772,20.933725590740263,25.345865,0.9979285051373323
56,-0.02374863605812186,22.115345,20.181408,20.74771584348514,25.472927,0.9979137630389919
57,-0.022851201710333478,22.114706,20.182163,20.94265360413576,25.428776,0.997916685271384
58,-0.023592408549362027,22.114428,20.184118,20.568615528375428,25.35074,0.9979217422103882
59,-0.024749113393935946,22.115368,20.189018,20.11217533477629,25.202938,0.9979308123789814
60,-0.02784939658157408,22.11552,20.192183,19.897881564970824,25.496222,0.9979374967990078
61,-0.029513040821855352,22.115465,20.190588,19.348925949218003,25.12592,0.9979341304295264
62,-0.03081693799592724,22.11539,20.190245,18.93172248774588,24.70151,0.9979334236060251
63,-0.026736132849866152,22.11543,20.19014,19.70118153213896,25.115252,0.9979332866795089
64,-0.030151610708884193,22.115627,20.190044,19.27389902125883,25.123854,0.9979325812556723
65,-0.029863315669468777,22.115564,20.190294,19.465652226449052,25.331732,0.9979332697302421
66,-0.02669555216506128,22.115595,20.190065,19.933931682525856,25.348537,0.9979326945799856
67,-0.02944466349485331,22.11573,20.190674,19.635793184195062,25.468063,0.9979337805702743
68,-0.03904584983875326,22.1154,20.191526,18.410789955041853,25.04883,0.9979363639771827
69,-0.021358067752299585,22.115433,20.191923,20.294548413118164,24.811531,0.9979372755726262
70,-0.019468628996185133,22.115768,20.192621,20.76416021484349,24.815186,0.9979379717824783
71,-0.020542978468872153,22.115429,20.193138,20.694839774367733,24.95196,0.9979399112177836
72,-0.000831001634396303,22.115551,20.19216,21.257174341121168,20.079618,0.9979373832410272
73,-0.006099093872569367,22.116062,20.192478,19.953691039150936,19.771097,0.9979371416402231
74,-0.008326439075890627,22.11541,20.192429,19.6652383392847,19.53595,0.9979383632318316
75,-0.007557714094345562,22.114786,20.19211,19.74005032199857,19.69266,0.9979389245785608
76,-0.006112530959262886,22.115665,20.192411,20.10266732147857,19.288155,0.9979377127773341
77,-0.01046126977104058,22.115513,20.19362,19.64124955034909,18.853386,0.9979409087991571
78,-0.012383420391645852,22.115654,20.19097,19.57732187856943,18.537495,0.9979346886116722
79,-0.012143737426570666,22.115849,20.190214,20.26714103492873,17.925182,0.9979324190551477
80,-0.026494271826279225,22.115387,20.190369,19.892503811094173,16.807796,0.9979337990761646
81,-0.03335909290655052,22.115294,20.189867,20.011694114692823,16.33562,0.9979328665440129
82,-0.0258087204457222,22.1156,20.19172,19.347726787880944,17.162565,0.9979363858952058
83,-0.018581216484704743,22.115763,20.192041,19.671942569144136,17.597933,0.9979367760349295
84,-0.01654768586940403,22.115368,20.192028,19.04103927344747,18.630335,0.9979375528185209
85,-0.013641369320364456,22.11547,20.191572,19.63634457078651,18.248072,0.9979364122010619
86,-0.0075956150219987275,22.11571,20.192133,21.02348183355801,18.162178,0.997937090035105
87,-0.007250991252265755,22.115688,20.192064,20.492830031866525,18.512548,0.9979370692243725
88,-0.006076066837352733,22.115623,20.191212,22.68228772990678,18.233507,0.9979352033873494
89,-0.010417971254778386,22.115578,20.191727,21.022571656639624,17.79543,0.9979364497423331
90,-0.01725814573664692,22.115623,20.191708,20.867157016202977,17.171448,0.9979363135089965
91,-0.0230761283981913,22.115025,20.192804,20.965762939452787,16.719778,0.9979400804126011
92,-0.014135723244814265,22.115452,20.19233,20.915253987760053,17.436552,0.9979380556370204
93,-0.01039788396610304,22.115242,20.193153,20.361232183070246,18.099903,0.9979403269672649
94,-0.011606849286079548,22.115326,20.191992,19.934221125683887,18.256304,0.9979376474366631
95,-0.016435521293741963,22.11584,20.189909,18.803275264130843,19.360495,0.997931750874934
96,-0.010138605311477358,22.115185,20.190428,19.49297933480833,19.289494,0.9979342548976193
97,-0.009665593527121479,22.115177,20.18746,19.44913646193141,19.728617,0.9979276184937401
98,-0.00027624555481995804,22.115543,20.18992,22.501369853881325,20.519823,0.9979325651285211
99,-0.011656867060847939,22.115633,20.190079,26.10016799897334,20.134268,0.9979325564866535
