,episode,reward
0,0,-0.935490257747655
1,1,-0.6462419056978608
2,2,-0.935490257747655
3,3,-0.935490257747655
4,4,-0.8099173317704567
5,5,-0.745290412491837
6,6,-0.8099471523376391
7,7,-0.8274250070503122
8,8,-0.935490257747655
9,9,-0.9114813643961217
10,10,-0.7597905305238865
11,11,-0.935490257747655
12,12,-0.935490257747655
13,13,-0.7272221158864114
14,14,-0.8522953639832707
15,15,-0.8262194803746976
16,16,-0.935490257747655
17,17,-0.7319040897745079
18,18,-0.935490257747655
19,19,-0.7786829449707799
20,20,-0.7580069770969581
21,21,-0.768728743801385
22,22,-0.9307571738992026
23,23,-0.8872253510416919
24,24,-0.935490257747655
25,25,-0.9344746837506577
26,26,-0.6361089378281453
27,27,-0.935490257747655
28,28,-0.935490257747655
29,29,-0.935490257747655
30,30,-0.6867058487718724
31,31,-0.935490257747655
32,32,-0.5408824722767491
33,33,-0.935490257747655
34,34,-0.935490257747655
35,35,-0.6629054952486888
36,36,-0.7023275174179533
37,37,-0.935490257747655
38,38,-0.5474123300139119
39,39,-0.8317244156823598
40,40,-0.7686635968065343
41,41,-0.935490257747655
42,42,-0.8775302440312391
43,43,-0.935490257747655
44,44,-0.7164751429354219
45,45,-0.6903347827119579
46,46,-0.935490257747655
47,47,-0.7202979049892175
48,48,-0.935490257747655
49,49,-0.8869887643201269
50,50,-0.6696037446555209
51,51,-0.643767877587587
52,52,-0.7072496829460704
53,53,-0.6850127708307925
54,54,-0.7788158244903338
55,55,-0.382795645777663
56,56,-0.6550024048120238
57,57,-0.8436847980869149
58,58,-0.935490257747655
59,59,-0.3552901301637023
60,60,-0.935490257747655
61,61,-0.8653048220557735
62,62,-0.7929584135308781
63,63,-0.7293790645779767
64,64,-0.6696451370171785
65,65,-0.21782872838264428
66,66,-0.9213197695132969
67,67,-0.40718055513675305
68,68,-0.9022181505193207
69,69,-0.5118202918911702
70,70,-0.7365547825059655
71,71,-0.7298455194441131
72,72,-0.5397027928114201
73,73,-0.6827884980531208
74,74,-0.15602342171570882
75,75,-0.5149738720695525
76,76,-0.1618275130742678
77,77,-0.07525467586456824
78,78,-0.5321386071056731
79,79,-0.1962446665130918
80,80,-0.917654867635594
81,81,-0.6985734804855656
82,82,-0.20518332835074524
83,83,-0.8245087471613868
84,84,-0.37685847449633303
85,85,-0.895475384657142
86,86,-0.667414487661692
87,87,-0.935490257747655
88,88,-0.6976589231448389
89,89,-0.6007871720024357
90,90,-0.29401452444105725
91,91,-0.5322748261606787
92,92,-0.2914490716715212
93,93,-0.005021479343387211
94,94,-0.5819734021765132
95,95,-0.2135627592316306
96,96,-0.5013276551765863
97,97,-0.19155059109389042
98,98,-0.026321271598509798
99,99,-0.24171072469391275
100,100,-0.05908536757635377
101,101,-0.22691494624111844
102,102,-0.17919978944297013
103,103,-0.4445837319734265
104,104,-0.18708518471920949
105,105,-0.42800922904961974
106,106,-0.17163445237141145
107,107,-0.050723280913719374
108,108,-0.45057981454913865
109,109,-0.15147377160215475
110,110,-0.35267969675613464
111,111,-0.0162501489653924
112,112,-0.09131621061386205
113,113,-0.13509883097532277
114,114,-0.21571170634522718
115,115,-0.035699298845343626
116,116,-0.3474554309244414
117,117,-0.05153263088093548
118,118,-0.1422313324772479
119,119,-0.01521850630038695
120,120,-0.09656885120650843
121,121,-0.05155506028360671
122,122,-0.2389253548322266
123,123,-0.08614656904689785
124,124,-0.31391857936408774
125,125,-0.5498947994078882
126,126,-0.32720462654307947
127,127,-0.2066366354130536
128,128,-0.6040527348530109
129,129,-0.1648154167693953
130,130,-0.4287047468065647
131,131,-0.1380368868808727
132,132,-0.1436670637696988
133,133,-0.06693959218120302
134,134,-0.19041157196440897
135,135,-0.3231748658076733
136,136,-0.06571911493164244
137,137,-0.023922012578142617
138,138,-0.13376518806392002
139,139,-0.2842663156836478
140,140,-0.18258394954735424
141,141,-0.05218799125770563
142,142,-0.17794909236916076
143,143,-0.7152375858136808
144,144,-0.12697691565167096
145,145,-0.1847007191341115
146,146,-0.25980756781159886
147,147,-0.645330731627284
148,148,-0.9049914507448846
149,149,-0.36148945673512384
150,150,-0.21971362871485894
151,151,-0.5184211535620885
152,152,-0.8627118876263085
153,153,-0.7978421943617444
154,154,-0.6098125188335322
155,155,-0.6573025991650933
156,156,-4.39122129394206
157,157,-0.24322011001715935
158,158,-0.4441394400538325
159,159,-0.5001605153570569
160,160,-0.5417151521619545
161,161,-0.7262703519277534
162,162,-0.41409085012475566
163,163,-0.7293294041500008
164,164,-0.723610732304083
165,165,-0.7797224365364491
166,166,-0.3991713655482463
167,167,-0.5598095203174023
168,168,-0.6201789092074642
169,169,-0.6065228693787955
170,170,-0.6175362190950822
171,171,-0.6897740030584777
172,172,-0.5989969478453795
173,173,-0.39933050275918835
174,174,-0.8576784155208691
175,175,-0.5178712654371274
176,176,-0.4492359028941295
177,177,-0.40309914183753465
178,178,-0.48586483557000787
179,179,-0.6850419628160135
180,180,-0.5222638479352337
181,181,-0.4162007584474354
182,182,-0.5684118596250844
183,183,-0.28463979970485304
184,184,-0.48163621957438135
185,185,-0.7606663840813178
186,186,-0.5416355041241946
187,187,-0.564111503822059
188,188,-0.4593878845716229
189,189,-0.5198123594404872
190,190,-6.049044041018604
191,191,-0.601818891343206
192,192,-0.4519670816454189
