,episode,reward
0,0,-0.93549025974899
1,1,-0.36630372093936536
2,2,-0.39762894330783105
3,3,-0.9049749256092401
4,4,-0.8348330539213169
5,5,-0.33069695758882744
6,6,-0.6989721830967177
7,7,-0.822736952465549
8,8,-0.93549025974899
9,9,-0.9078952689327515
10,10,-0.4968432707320023
11,11,-0.7179610772276313
12,12,-0.2470086183284269
13,13,-0.7410684826810741
14,14,-0.6133523646090229
15,15,-0.5753546288788147
16,16,-0.93549025974899
17,17,-0.274914261720534
18,18,-0.93549025974899
19,19,-0.6476297787697849
20,20,-0.5351949654497368
21,21,-0.8307430552093287
22,22,-0.7312037064804144
23,23,-0.49876541311995837
24,24,-0.45673061006719173
25,25,-0.93549025974899
26,26,-0.39303731640098505
27,27,-0.29001083479060163
28,28,-0.7995996887383416
29,29,-0.2287355240574122
30,30,-0.7789952557191615
31,31,-0.6093984902276706
32,32,-0.8179526215373745
33,33,-0.93549025974899
34,34,-0.6925650684492215
35,35,-0.5432019324657418
36,36,-0.6111829319963977
37,37,-0.7726244366032109
38,38,-0.6069408085229728
39,39,-0.5165207407604258
40,40,-0.93549025974899
41,41,-0.8345772737495327
42,42,-0.8846520836699803
43,43,-0.9302345651392052
44,44,-0.6543409454571929
45,45,-0.6993005668689705
46,46,-0.31005696188419307
47,47,-0.7423494493492697
48,48,-0.4849078379403764
49,49,-0.6026404238197802
50,50,-0.93549025974899
51,51,-0.8102582733749912
52,52,-0.6948891248951004
53,53,-0.7995024516084417
54,54,-0.5257483772208063
55,55,-0.8228842006003312
56,56,-0.692876356717111
57,57,-0.6243778074709869
58,58,-0.4169731114324393
59,59,-0.5541280013665486
60,60,-0.40433077256860805
61,61,-0.4820055468522533
62,62,-0.35596725299151366
63,63,-0.6577232592159863
64,64,-0.5395665986095999
65,65,-0.93549025974899
66,66,-0.7317725661528929
67,67,-0.675109845323707
68,68,-0.93549025974899
69,69,-0.33414537692043567
70,70,-0.5356128715278428
71,71,-0.8800664535647105
72,72,-0.4470729794010939
73,73,-0.4703731882653077
74,74,-0.35597297898139424
75,75,-0.93549025974899
76,76,-0.5355897820901419
77,77,-0.93549025974899
78,78,-0.5663209395974498
79,79,-0.3086290686807249
80,80,-0.5887570245128697
81,81,-0.93549025974899
82,82,-0.8660635466341375
83,83,-0.8722494971698769
84,84,-0.6020525411927657
85,85,-0.7338546419885095
86,86,-0.585746041368882
87,87,-0.4094367692101528
88,88,-0.5109920537904671
89,89,-0.9060515734860122
90,90,-0.7302333034779167
91,91,-0.5713121586808416
92,92,-0.8000342668399529
93,93,-0.5375678628846381
94,94,-0.6563365926449141
95,95,-0.93549025974899
96,96,-0.93549025974899
97,97,-0.93549025974899
98,98,-0.8781501413252002
99,99,-0.9290782142251217
100,100,-0.7777579209295897
101,101,-0.444235637363239
102,102,-0.93549025974899
103,103,-0.6497058465516581
104,104,-0.732926258320008
105,105,-0.2372786026038387
106,106,-0.8669573508451212
107,107,-0.6982827756779333
108,108,-0.5282117893111402
109,109,-0.8818976415287683
110,110,-0.26346538501020866
111,111,-0.93549025974899
112,112,-0.8950494282119124
113,113,-0.5376629847989989
114,114,-0.3793298179400555
115,115,-0.7581366429837662
116,116,-0.4865454023124678
117,117,-0.8575270192905649
118,118,-0.7910948794635608
119,119,-0.6089686962095886
120,120,-0.93549025974899
121,121,-0.5652107267448265
122,122,-0.5561675325109405
123,123,-0.6349103329405636
124,124,-0.9088748396274653
125,125,-0.6842722246708437
126,126,-0.5712438522022527
127,127,-0.93549025974899
128,128,-0.3742145793572793
129,129,-0.8517833689919776
130,130,-0.6795750831018612
131,131,-0.89951123856331
132,132,-0.8710376949084822
133,133,-0.8975641924121938
134,134,-0.47586002903225655
135,135,-0.9011067348772208
136,136,-0.6893879279534421
137,137,-0.6741237846650723
138,138,-0.5765250640013733
139,139,-0.6775747712526812
140,140,-0.6439440317139891
141,141,-0.7147913056448107
142,142,-0.93549025974899
143,143,-0.6717183824679474
144,144,-0.9183494301643353
145,145,-0.7851262965930097
146,146,-0.18926030351353695
147,147,-0.93549025974899
148,148,-0.93549025974899
149,149,-0.6820398462878536
150,150,-0.7353212195203813
151,151,-0.6899809233189735
152,152,-0.93549025974899
153,153,-0.6297391273809314
154,154,-0.7125093059723699
155,155,-0.6430070107403285
156,156,-0.93549025974899
157,157,-0.93549025974899
158,158,-0.8808203404595094
159,159,-0.4701636729993357
160,160,-0.93549025974899
161,161,-0.5654683089656207
162,162,-0.93549025974899
163,163,-0.49896006260239467
164,164,-0.7955391430808607
165,165,-0.7851813407304356
166,166,-0.7822186507140998
167,167,-0.8896015450050143
168,168,-0.93549025974899
169,169,-0.4206680371838605
170,170,-0.93549025974899
171,171,-0.93549025974899
172,172,-0.42260560776495737
173,173,-0.8067306221587707
174,174,-0.9098926874391058
175,175,-0.8795528615612103
176,176,-0.93549025974899
177,177,-0.15053763762302896
178,178,-0.5134513074983449
179,179,-0.7897587507458983
180,180,-0.7417215364119247
181,181,-0.4767104474370747
182,182,-0.5918497226010722
183,183,-0.6153184860050693
184,184,-0.8718383416957352
185,185,-0.6767005590004409
186,186,-0.5174861747770709
187,187,-0.564924126870908
188,188,-0.93549025974899
189,189,-0.6934577940794959
190,190,-0.7947808574975035
191,191,-0.7240141224795629
192,192,-0.4696693231401987
193,193,-0.40946900040846756
194,194,-0.8098640507314716
195,195,-0.93549025974899
196,196,-0.4999013722004637
197,197,-0.699462722007242
198,198,-0.7163232794461649
199,199,-0.645366722731783
200,200,-0.6268246589168349
201,201,-0.35915624081619413
202,202,-0.5833892954913424
203,203,-0.93549025974899
204,204,-0.8549976730247408
205,205,-0.587430402175432
206,206,-0.5567565036131072
207,207,-0.5695249935783964
208,208,-0.7653708993296284
209,209,-0.37712417777254537
210,210,-0.93549025974899
211,211,-0.8722131128508934
212,212,-0.8796647368456441
213,213,-0.9077285004962121
214,214,-0.6837474995813739
215,215,-0.5953760852413552
216,216,-0.7560320553462319
217,217,-0.6393875537435356
218,218,-0.8735485839789465
219,219,-0.5995285526911136
220,220,-0.7550277349633383
221,221,-0.5758407657625231
222,222,-0.06005380861178722
223,223,-0.93549025974899
224,224,-0.44561563836514395
225,225,-0.4212287336027445
226,226,-0.93549025974899
227,227,-0.6324245060481051
228,228,-0.48305926390075815
229,229,-0.6955438925434709
230,230,-0.8560846208822159
231,231,-0.93549025974899
232,232,-0.5659619661512227
233,233,-0.93549025974899
234,234,-0.6530868425848002
235,235,-0.8856188538887455
236,236,-0.93549025974899
237,237,-0.6241203006092384
238,238,-0.5526612464699845
239,239,-0.93549025974899
240,240,-0.7211942519788757
241,241,-0.93549025974899
242,242,-0.93549025974899
243,243,-0.4651364351776063
244,244,-0.7992313260428379
245,245,-0.93549025974899
246,246,-0.8387003547432759
247,247,-0.5441769843615245
248,248,-0.5966673240109532
249,249,-0.8795722203807124
250,250,-0.5625200825442978
251,251,-0.8859171162001065
252,252,-0.5295767543641716
253,253,-0.8125490404021551
254,254,-0.23480382235646902
255,255,-0.93549025974899
256,256,-0.4196517263710451
257,257,-0.93549025974899
258,258,-0.5334016510701147
259,259,-0.832045336439565
260,260,-0.13314941952064363
261,261,-0.3927035059623183
262,262,-0.3308988178178983
263,263,-0.8163819167685507
264,264,-0.7909157816041006
265,265,-0.5928450298939527
266,266,-0.93549025974899
267,267,-0.8347101190198103
268,268,-0.9064818181685954
269,269,-0.3384280349293398
270,270,-0.8980371030576908
271,271,-0.93549025974899
272,272,-0.472399171849057
273,273,-0.8886339474023828
274,274,-0.7634032600827414
275,275,-0.5230543087695949
276,276,-0.571711588400456
277,277,-0.5860311992585743
278,278,-0.7386592281319171
279,279,-0.8622184596575853
280,280,-0.8257397767217363
281,281,-0.93549025974899
282,282,-0.93549025974899
283,283,-0.4852710975033744
284,284,-0.466653104575089
285,285,-0.6159145009977696
286,286,-0.8501485485185913
287,287,-0.7781601395382953
288,288,-0.6481704157556241
289,289,-0.7370240092437488
290,290,-0.6722308231771201
291,291,-0.5732838701243015
292,292,-0.5858474821139659
293,293,-0.802246124446043
294,294,-0.51660548930005
295,295,-0.6094686763696888
296,296,-0.6579943722585302
297,297,-0.5994818254763334
298,298,-0.9102378116009788
299,299,-0.6482159321822856
300,300,-0.8650267037809147
301,301,-0.6228105311024184
302,302,-0.5661880878971619
303,303,-0.5316913736446285
304,304,-0.7691637680967744
305,305,-0.5059162139980415
306,306,-0.6287976204711825
307,307,-0.7459107083110439
308,308,-0.3024603817420086
309,309,-0.8489300972079139
310,310,-0.8696212575977018
311,311,-0.6319911952174664
312,312,-0.8347435205266613
313,313,-0.93549025974899
314,314,-0.639425048338456
315,315,-0.6838230298627099
316,316,-0.4088874601105932
317,317,-0.93549025974899
318,318,-0.26430001180604856
319,319,-0.6735485332873399
320,320,-0.23678496290274964
321,321,-0.815178515677518
322,322,-0.7155116642254189
323,323,-0.8228782422835366
324,324,-0.5068700318765611
325,325,-0.93549025974899
326,326,-0.5912350214754447
327,327,-0.670313791200714
328,328,-0.37384138346775053
329,329,-0.93549025974899
330,330,-0.8738329944368672
331,331,-0.45637025642309403
332,332,-0.8490206221780525
333,333,-0.7022803067742167
334,334,-0.3573753201376584
335,335,-0.8258785237249189
336,336,-0.3682596220921628
337,337,-0.8105026279755254
338,338,-0.752171568831276
339,339,-0.5767964511793622
340,340,-0.2832673410216877
341,341,-0.93549025974899
342,342,-0.7418420383755251
343,343,-0.6880828664368188
344,344,-0.33673728407018366
345,345,-0.23662401869609972
346,346,-0.41576882156037165
347,347,-0.8297663584072215
348,348,-0.6279861204408395
349,349,-0.27550886924896156
350,350,-0.5468001576663912
351,351,-0.4902881225992566
352,352,-0.93549025974899
353,353,-0.93549025974899
354,354,-0.7286121412469999
355,355,-0.719533726563828
356,356,-0.9257948875132804
357,357,-0.8918576080695733
358,358,-0.93549025974899
359,359,-0.5947382840487538
360,360,-0.93549025974899
361,361,-0.5169154157142319
362,362,-0.763875311103094
363,363,-0.844990344250613
364,364,-0.6662250050792995
365,365,-0.7853694640856226
366,366,-0.8910005760418063
367,367,-0.9342012143129814
368,368,-0.93549025974899
369,369,-0.7241181055452675
370,370,-0.9073867756982299
371,371,-0.5065792996690881
372,372,-0.93549025974899
373,373,-0.6124021551034406
374,374,-0.6063158253676537
375,375,-0.5113044500132151
376,376,-0.6574990610989175
377,377,-0.7801563588689309
378,378,-0.6591352491492177
379,379,-0.7248175673147053
380,380,-0.7656830877473375
381,381,-0.7163151202943627
382,382,-0.5525444890443354
383,383,-0.5018657455439968
384,384,-0.93549025974899
385,385,-0.8205869664881948
386,386,-0.6399959704505864
387,387,-0.7920701584275225
388,388,-0.8288194136853129
389,389,-0.7824139021335785
390,390,-0.5030966481438668
391,391,-0.3982830064936209
392,392,-0.49572944479440695
393,393,-0.5516876854765891
394,394,-0.494688905951739
395,395,-0.8009937010835788
396,396,-0.7535361186013336
397,397,-0.5202897270981683
398,398,-0.3996231186504762
399,399,-0.93549025974899
400,400,-0.5038600817829875
401,401,-0.40648362038091124
402,402,-0.5787070608999034
403,403,-0.5376117685689117
404,404,-0.9185786836493026
405,405,-0.8696497748582104
406,406,-0.7738389682341538
407,407,-0.6555091080615583
408,408,-0.6983553664358642
409,409,-0.93549025974899
410,410,-0.8919458381097911
411,411,-0.9083429587274754
412,412,-0.6994325249678202
413,413,-0.8941809453111649
414,414,-0.697777707133131
415,415,-0.93549025974899
416,416,-0.9203851879884617
417,417,-0.6141218603196652
418,418,-0.8708411044538042
419,419,-0.7196107246818091
420,420,-0.6470063282341876
421,421,-0.5492595183413478
422,422,-0.7553662209114762
423,423,-0.6148381233350992
424,424,-0.8365045386046894
425,425,-0.4234079509456059
426,426,-0.8725225775926901
427,427,-0.6319287128311135
428,428,-0.7840115351510981
429,429,-0.5362260971647732
430,430,-0.739481458578414
431,431,-0.526268701860495
432,432,-0.8496080679401601
433,433,-0.93549025974899
434,434,-0.4591175823387861
435,435,-0.8436553571570631
436,436,-0.93549025974899
437,437,-0.5857116258921935
438,438,-0.93549025974899
439,439,-0.5270518840158633
440,440,-0.6919115363680888
441,441,-0.6486626182069646
442,442,-0.93549025974899
443,443,-0.93549025974899
444,444,-0.9033901725211013
445,445,-0.7547998451051416
446,446,-0.5171921123280558
447,447,-0.8096548313408114
448,448,-0.7681377625287098
449,449,-0.5079223190573021
450,450,-0.5559228019939213
451,451,-0.4894984156596429
452,452,-0.8928544671284389
453,453,-0.8265324559906908
454,454,-0.8320717912294686
455,455,-0.8307338946457321
456,456,-0.5653239420605249
457,457,-0.793830521948923
458,458,-0.4748551435548496
459,459,-0.24868875008328395
460,460,-0.6040261567990548
461,461,-0.4826528459800876
462,462,-0.6357130187060154
463,463,-0.6753605243393128
464,464,-0.4431426720683551
465,465,-0.8221166259304713
466,466,-0.7660215449730448
467,467,-0.6291724547414521
468,468,-0.7916420927329462
469,469,-0.6162913940048487
470,470,-0.45093350212035865
471,471,-0.8323614791604772
472,472,-0.6218557016314481
473,473,-0.49928450467628593
474,474,-0.4403299401245988
475,475,-0.6059977919312249
476,476,-0.7524672364130858
477,477,-0.7879385198077671
478,478,-0.6139476666672739
479,479,-0.5317394884597086
480,480,-0.718659283088714
481,481,-0.5568725397553926
482,482,-0.7554619105546934
483,483,-0.93549025974899
484,484,-0.6326358681476751
485,485,-0.5015790879716668
486,486,-0.382188668534754
487,487,-0.6934499325949339
488,488,-0.7765174934174759
489,489,-0.727022517443352
490,490,-0.932162745217342
491,491,-0.93549025974899
492,492,-0.5899153337089054
493,493,-0.93549025974899
494,494,-0.93549025974899
495,495,-0.7488084550854275
496,496,-0.5733771266783916
497,497,-0.93549025974899
498,498,-0.71971149823705
499,499,-0.8446128261807253
500,500,-0.5864327608914213
501,501,-0.7558562179755945
502,502,-0.5945282767833682
503,503,-0.5297533202453697
504,504,-0.8663369299404611
505,505,-0.5091116978486188
506,506,-0.8203548234277207
507,507,-0.6904386692860953
508,508,-0.93549025974899
509,509,-0.5752506174563798
510,510,-0.595875017708396
511,511,-0.7771085191796789
512,512,-0.592279583902755
513,513,-0.6057742078070394
514,514,-0.7187620979323306
515,515,-0.8729211568311985
516,516,-0.6343123149627719
517,517,-0.3101470959394459
518,518,-0.793753513594412
519,519,-0.7576540892405781
520,520,-0.93549025974899
521,521,-0.93549025974899
