episode,reward
0,-0.5426393273152321
1,-1.0321001543981314
2,-0.4763567045895415
3,-0.2377524487998639
4,-0.7143350431356001
5,-1.8613182652515263
6,-3.2238050198017447
7,-0.73901141582283
8,-1.9393405880378012
9,-1.681263895229904
10,-0.6870128980211962
11,-1.16238819427973
12,-0.9214124160258894
13,-0.93549025974899
14,-0.6497995547083413
15,-0.6006857710147973
16,-0.93549025974899
17,-0.7670043612132691
18,-0.8278849816297384
19,-0.645766268598992
20,-0.734733041249557
21,-0.13437441683009713
22,-2.9538686180923435
23,-0.19394910646046004
24,-1.6749328727224864
25,-1.9995669910583391
26,-0.4802540144925751
27,-0.93549025974899
28,-0.8887160485191039
29,-1.6559640364745576
30,-1.7252159014573056
31,-1.50777893660994
32,-2.9452102715424644
33,-0.93549025974899
34,-0.6843887013334324
35,-3.4428329542336087
36,-0.93549025974899
37,-0.7910066064874322
38,-0.937851554827434
39,-0.44173478080612094
40,-0.8333834675630332
41,-0.6434548176267985
42,-0.93549025974899
43,-2.9234337939863053
44,-0.401972060259121
45,-0.93549025974899
46,-2.5669777042895703
47,-1.5695639843429507
48,-0.6392409616947425
49,-0.93549025974899
50,-0.93549025974899
51,-0.93549025974899
52,-1.2251294478494401
53,-0.93549025974899
54,-0.93549025974899
55,-0.8479310926732887
56,-0.44012584860603754
57,-0.9900758430468386
58,-0.93549025974899
59,-0.93549025974899
60,-0.93549025974899
61,-0.933621930359557
62,-0.93549025974899
63,-1.5600246126007633
64,-0.4657764981827027
65,-1.2396424613554746
66,-0.93549025974899
67,-0.49064273762179456
68,-0.5298304357371411
69,-0.47506297064535064
70,-0.3161452667814335
71,-1.6008051833888715
72,-1.8190328539022858
73,-0.5866816782534063
74,-0.93549025974899
75,-0.24724068301270663
76,-0.93549025974899
77,-0.782876245431483
78,-0.5300854870453464
79,-0.3707102051357981
80,-0.7208538624846206
81,-0.8265428358277962
82,-0.8012764410076052
83,-0.5777362817372058
84,-0.5634596818085846
85,-0.93549025974899
86,-1.045471147908268
87,-1.7834555709863142
88,-1.6496837130311182
89,-28.008620626176786
90,-0.9006581641427704
91,-1.097339699375505
92,-0.5354693704762106
93,-0.93549025974899
94,-1.5952412690520408
95,-0.93549025974899
96,-0.6493552821417059
97,-28.007541408700384
98,-0.838338958158829
99,-1.5665892752902995
100,-2.814531086935517
101,-0.6241460738370996
102,-0.5571532793727187
103,-0.93549025974899
104,-2.253451470624107
105,-0.6325044923492218
106,-1.3277759016203916
107,-0.93549025974899
108,-0.93549025974899
109,-0.5615877179276385
110,-0.93549025974899
111,-1.8618276108600913
112,-0.93549025974899
113,-0.93549025974899
114,-0.76810340294079
115,-0.3237479382816516
116,-0.93549025974899
117,-0.8496511887400686
118,-0.48129780688340074
119,-0.93549025974899
120,-0.4438535195297959
121,-0.9161648622081486
122,-0.9961098383092466
123,-0.93549025974899
124,-0.7124120962072062
125,-0.3995706459226689
126,-0.93549025974899
127,-0.93549025974899
128,-0.7573588483854827
129,-2.9968178258070566
130,-0.93549025974899
131,-0.46996822009881734
132,-0.93549025974899
133,-0.93549025974899
134,-0.7425153984055317
135,-0.9749042419834453
136,-0.47639096240998136
137,-0.7716465843337676
