episode,reward,alloc_lte,alloc_nr,demand_lte,demand_nr
60,-0.7644486210952586,4.8041964,0.59999996,19.897882,25.496222
61,-0.2972959208746527,34.26138,25.738623,19.348927,25.12592
62,-0.7691076629108995,4.4368286,0.59999996,18.931723,24.70151
63,-0.07021147093517044,21.372612,15.948175,19.701181,25.115252
64,-0.9457578432050937,0.59999996,0.59999996,19.2739,25.123854
65,-0.4771436639464248,0.59999996,28.432598,19.465652,25.331732
66,-0.5763153970711365,0.59999996,37.01778,19.933931,25.348537
67,-0.946629004238746,0.59999996,0.59999996,19.635794,25.468063
68,-0.24915060087730911,17.330301,42.669697,18.41079,25.04883
69,-0.9469824869363777,0.59999996,0.59999996,20.294548,24.811531
70,-0.9476350769549313,0.59999996,0.59999996,20.76416,24.815186
71,-0.947670386960505,0.59999996,0.59999996,20.69484,24.95196
72,-2.2521336743688636,0.59999996,57.96535,21.257174,20.079618
73,-0.9404955761659028,0.59999996,0.59999996,19.953691,19.771097
74,-1.5477865556711823,0.59999996,48.21898,19.665237,19.53595
75,-0.598857091833489,0.59999996,29.687155,19.740051,19.69266
76,-0.37279794273104905,24.634573,35.365425,20.102667,19.288155
77,-2.13976839077084,0.59999996,53.307655,19.641249,18.853386
78,-2.6746424480553515,0.59999996,57.46465,19.577322,18.537495
79,-1.2703801076643035,45.95597,0.59999996,20.267141,17.925182
80,-0.935232128960255,0.59999996,0.59999996,19.892504,16.807796
81,-3.6353593086788027,0.59999996,57.434513,20.011694,16.33562
82,-3.498079702665251,0.59846306,59.40154,19.347727,17.162565
83,-0.9364511435720857,0.59999996,0.59999996,19.671942,17.597933
84,-0.8997612128698353,0.59999996,1.3376981,19.041039,18.630335
85,-1.0736239273478319,41.253517,0.59999996,19.636345,18.248072
86,-1.8394014578090179,0.59999996,48.19886,21.023481,18.162178
87,-1.181110278981933,13.7034645,46.296535,20.49283,18.512548
88,-0.7783484943049377,40.56288,0.59999996,22.682287,18.233507
89,-0.9387183420473324,0.59999996,0.59999996,21.022572,17.79543
90,-0.3531948324708267,31.118746,28.881254,20.867157,17.171448
91,-0.49175569294564925,0.59999996,13.378809,20.965763,16.719778
92,-0.9379058039069434,0.59999996,0.59999996,20.915255,17.436552
93,-0.9383664914450041,0.59999996,0.59999996,20.361233,18.099903
94,-1.447281468490715,47.836533,0.59999996,19.934221,18.256304
95,-0.9380890181507908,0.59999996,0.59999996,18.803276,19.360495
96,-0.9390721188084399,0.59999996,0.59999996,19.49298,19.289494
97,-2.4667225577187892,0.59999996,59.157196,19.449137,19.728617
98,-0.38704842986004984,21.451666,38.548336,22.50137,20.519823
99,-0.9479199337394579,0.59999996,0.59999996,26.100168,20.134268
100,-0.5272764389451812,0.59999996,26.626238,26.315517,20.23812
101,-0.8905347585368961,0.59999996,1.7528914,26.273603,19.255589
102,-0.2773591028281238,26.069235,33.930763,26.237635,19.447166
103,-2.758623624658144,0.5979514,59.40205,26.192894,18.942139
104,-0.6218605822937865,20.222553,39.777447,26.235481,19.01937
105,-0.5331244471599779,0.59999996,12.203633,26.20339,18.322302
106,-2.722529239022265,0.5995853,59.400414,26.024902,19.044058
107,-0.7625616388859591,0.59999996,32.121674,26.3932,18.302618
108,-0.8838259004365696,2.3384306,0.59999996,26.374405,18.778038
109,-1.0910234743480633,14.316481,45.683517,26.301973,18.994184
110,-0.9461172182412216,0.59999996,0.59999996,26.283722,18.854973
111,-3.055236395966462,0.59999996,59.092896,26.300898,18.067963
112,-2.645613764052115,0.5944761,59.405525,26.239553,19.273037
113,-0.604140938640402,39.838245,0.59999996,26.205954,18.94928
114,-0.6581844706164368,42.350815,0.59999996,26.179543,18.102024
115,-2.5854503569204343,0.59999996,58.7084,26.135506,19.227472
116,-1.0539043487546067,0.59999996,39.48859,26.269289,19.041994
117,-0.9448218855155321,0.59999996,0.59999996,26.297308,18.08725
118,-0.9467240946281965,0.59999996,0.59999996,26.307104,19.221144
119,-0.9449088070303624,0.59999996,0.59999996,26.266603,18.151186
120,-0.502524524407788,11.533134,48.466866,21.196089,25.604946
121,-0.15216977737928253,20.285349,39.714653,18.87734,25.678612
122,-1.7195881789794734,20.537888,39.462116,19.340298,25.36592
123,-0.011412964802804522,17.164404,26.133343,20.17707,25.544146
124,-0.9485496328558902,0.59999996,0.59999996,20.94904,25.536703
125,-1.332316453566115,0.59999996,58.64824,21.339098,25.372185
126,-0.9484794799648046,0.59999996,0.59999996,20.902225,25.528036
127,-0.9474712762662651,0.59999996,0.59999996,20.331663,25.278873
128,-1.3563389749076933,0.5985448,59.401455,20.084656,25.483944
129,-0.9460545875751407,0.59999996,0.59999996,19.164705,25.639118
130,-0.7757210622301756,0.59999996,45.515076,17.82556,25.485888
131,-0.6753863310679424,6.6711006,0.59999996,18.014538,25.93909
132,-1.3027967994366136,0.59814024,59.40186,18.137152,25.911795
133,-0.5181875982012674,24.739504,0.59999996,19.226147,25.864191
134,-0.9465560210305757,0.59999996,0.59999996,19.309582,25.950052
135,-0.9456288548644967,0.59999996,0.59999996,18.850628,25.728506
136,-0.9440398304501585,0.59999996,0.66159904,19.218191,25.890625
137,-0.9462999515380748,0.59999996,0.59999996,19.16636,25.91436
138,-1.314495062938036,0.59999996,59.169243,18.352823,25.71155
139,-0.7046746189282658,7.745711,52.254288,18.414797,25.662878
140,-0.9444337997692998,0.59999996,0.59999996,18.335443,25.361513
141,-1.2571727627510043,0.59999996,58.009155,18.759493,25.714392
142,-3.816163358072613,14.470695,45.52931,18.932108,25.308874
143,-0.8992281071431343,1.839442,0.59999996,22.729877,25.6477
144,-0.9473938831955397,0.59999996,0.59999996,26.142017,19.750212
145,-0.48605656130665154,0.59999996,22.816051,26.097864,20.146011
146,-2.2978720415421847,0.59999996,58.622383,26.070887,20.157589
147,-1.0747641825607985,54.152176,0.59999996,25.79453,20.007425
148,-0.5302162968679358,9.881294,3.5591464,25.756638,20.33156
149,-0.4704209371025179,26.678514,0.59999996,25.949047,19.712612
150,-0.946882003923557,0.59999996,0.59999996,26.063944,19.456427
151,-1.0284732342095158,4.99319,40.965034,25.91694,18.74495
152,-0.7348771341561378,44.831604,0.59999996,25.93035,19.183348
153,-0.9452142271795072,0.59999996,0.59999996,25.667152,18.6328
154,-0.1435580781974779,32.384872,27.615128,25.716768,18.79963
