Episode 68, Reward: -0.25, | Demand=(18.41, 25.05) | Alloc=(17.33, 42.67)
Episode 69, Reward: -0.95, | Demand=(20.29, 24.81) | Alloc=(0.60, 0.60)
Episode 70, Reward: -0.95, | Demand=(20.76, 24.82) | Alloc=(0.60, 0.60)
Episode 71, Reward: -0.95, | Demand=(20.69, 24.95) | Alloc=(0.60, 0.60)
Episode 72, Reward: -2.25, | Demand=(21.26, 20.08) | Alloc=(0.60, 57.97)
Episode 73, Reward: -0.94, | Demand=(19.95, 19.77) | Alloc=(0.60, 0.60)
Episode 74, Reward: -1.55, | Demand=(19.67, 19.54) | Alloc=(0.60, 48.22)
Episode 75, Reward: -0.60, | Demand=(19.74, 19.69) | Alloc=(0.60, 29.69)
Episode 76, Reward: -0.37, | Demand=(20.10, 19.29) | Alloc=(24.63, 35.37)
Episode 77, Reward: -2.14, | Demand=(19.64, 18.85) | Alloc=(0.60, 53.31)
Episode 78, Reward: -2.67, | Demand=(19.58, 18.54) | Alloc=(0.60, 57.46)
Episode 79, Reward: -1.27, | Demand=(20.27, 17.93) | Alloc=(45.96, 0.60)
Episode 80, Reward: -0.94, | Demand=(19.89, 16.81) | Alloc=(0.60, 0.60)
Episode 81, Reward: -3.64, | Demand=(20.01, 16.34) | Alloc=(0.60, 57.43)
Episode 82, Reward: -3.50, | Demand=(19.35, 17.16) | Alloc=(0.60, 59.40)
Episode 83, Reward: -0.94, | Demand=(19.67, 17.60) | Alloc=(0.60, 0.60)
Episode 84, Reward: -0.90, | Demand=(19.04, 18.63) | Alloc=(0.60, 1.34)
Episode 85, Reward: -1.07, | Demand=(19.64, 18.25) | Alloc=(41.25, 0.60)
Episode 86, Reward: -1.84, | Demand=(21.02, 18.16) | Alloc=(0.60, 48.20)
Episode 87, Reward: -1.18, | Demand=(20.49, 18.51) | Alloc=(13.70, 46.30)
Episode 88, Reward: -0.78, | Demand=(22.68, 18.23) | Alloc=(40.56, 0.60)
Episode 89, Reward: -0.94, | Demand=(21.02, 17.80) | Alloc=(0.60, 0.60)
Episode 90, Reward: -0.35, | Demand=(20.87, 17.17) | Alloc=(31.12, 28.88)
Episode 91, Reward: -0.49, | Demand=(20.97, 16.72) | Alloc=(0.60, 13.38)
Episode 92, Reward: -0.94, | Demand=(20.92, 17.44) | Alloc=(0.60, 0.60)
Episode 93, Reward: -0.94, | Demand=(20.36, 18.10) | Alloc=(0.60, 0.60)
Episode 94, Reward: -1.45, | Demand=(19.93, 18.26) | Alloc=(47.84, 0.60)
Episode 95, Reward: -0.94, | Demand=(18.80, 19.36) | Alloc=(0.60, 0.60)
Episode 96, Reward: -0.94, | Demand=(19.49, 19.29) | Alloc=(0.60, 0.60)
Episode 97, Reward: -2.47, | Demand=(19.45, 19.73) | Alloc=(0.60, 59.16)
Episode 98, Reward: -0.39, | Demand=(22.50, 20.52) | Alloc=(21.45, 38.55)
Episode 99, Reward: -0.95, | Demand=(26.10, 20.13) | Alloc=(0.60, 0.60)
Episode 100, Reward: -0.53, | Demand=(26.32, 20.24) | Alloc=(0.60, 26.63)
Episode 101, Reward: -0.89, | Demand=(26.27, 19.26) | Alloc=(0.60, 1.75)
Episode 102, Reward: -0.28, | Demand=(26.24, 19.45) | Alloc=(26.07, 33.93)
Episode 103, Reward: -2.76, | Demand=(26.19, 18.94) | Alloc=(0.60, 59.40)
Episode 104, Reward: -0.62, | Demand=(26.24, 19.02) | Alloc=(20.22, 39.78)
Episode 105, Reward: -0.53, | Demand=(26.20, 18.32) | Alloc=(0.60, 12.20)
Episode 106, Reward: -2.72, | Demand=(26.02, 19.04) | Alloc=(0.60, 59.40)
Episode 107, Reward: -0.76, | Demand=(26.39, 18.30) | Alloc=(0.60, 32.12)
Episode 108, Reward: -0.88, | Demand=(26.37, 18.78) | Alloc=(2.34, 0.60)
Episode 109, Reward: -1.09, | Demand=(26.30, 18.99) | Alloc=(14.32, 45.68)
Episode 110, Reward: -0.95, | Demand=(26.28, 18.85) | Alloc=(0.60, 0.60)
Episode 111, Reward: -3.06, | Demand=(26.30, 18.07) | Alloc=(0.60, 59.09)
Episode 112, Reward: -2.65, | Demand=(26.24, 19.27) | Alloc=(0.59, 59.41)
Episode 113, Reward: -0.60, | Demand=(26.21, 18.95) | Alloc=(39.84, 0.60)
Episode 114, Reward: -0.66, | Demand=(26.18, 18.10) | Alloc=(42.35, 0.60)
Episode 115, Reward: -2.59, | Demand=(26.14, 19.23) | Alloc=(0.60, 58.71)
Episode 116, Reward: -1.05, | Demand=(26.27, 19.04) | Alloc=(0.60, 39.49)
Episode 117, Reward: -0.94, | Demand=(26.30, 18.09) | Alloc=(0.60, 0.60)
Episode 118, Reward: -0.95, | Demand=(26.31, 19.22) | Alloc=(0.60, 0.60)
Episode 119, Reward: -0.94, | Demand=(26.27, 18.15) | Alloc=(0.60, 0.60)
Episode 120, Reward: -0.50, | Demand=(21.20, 25.60) | Alloc=(11.53, 48.47)
Episode 121, Reward: -0.15, | Demand=(18.88, 25.68) | Alloc=(20.29, 39.71)
Episode 122, Reward: -1.72, | Demand=(19.34, 25.37) | Alloc=(20.54, 39.46)
Episode 123, Reward: -0.01, | Demand=(20.18, 25.54) | Alloc=(17.16, 26.13)
Episode 124, Reward: -0.95, | Demand=(20.95, 25.54) | Alloc=(0.60, 0.60)
Episode 125, Reward: -1.33, | Demand=(21.34, 25.37) | Alloc=(0.60, 58.65)
Episode 126, Reward: -0.95, | Demand=(20.90, 25.53) | Alloc=(0.60, 0.60)
Episode 127, Reward: -0.95, | Demand=(20.33, 25.28) | Alloc=(0.60, 0.60)
Episode 128, Reward: -1.36, | Demand=(20.08, 25.48) | Alloc=(0.60, 59.40)
Episode 129, Reward: -0.95, | Demand=(19.16, 25.64) | Alloc=(0.60, 0.60)
Episode 130, Reward: -0.78, | Demand=(17.83, 25.49) | Alloc=(0.60, 45.52)
Episode 131, Reward: -0.68, | Demand=(18.01, 25.94) | Alloc=(6.67, 0.60)
Episode 132, Reward: -1.30, | Demand=(18.14, 25.91) | Alloc=(0.60, 59.40)
Episode 133, Reward: -0.52, | Demand=(19.23, 25.86) | Alloc=(24.74, 0.60)
Episode 134, Reward: -0.95, | Demand=(19.31, 25.95) | Alloc=(0.60, 0.60)
Episode 135, Reward: -0.95, | Demand=(18.85, 25.73) | Alloc=(0.60, 0.60)
Episode 136, Reward: -0.94, | Demand=(19.22, 25.89) | Alloc=(0.60, 0.66)
Episode 137, Reward: -0.95, | Demand=(19.17, 25.91) | Alloc=(0.60, 0.60)
Episode 138, Reward: -1.31, | Demand=(18.35, 25.71) | Alloc=(0.60, 59.17)
Episode 139, Reward: -0.70, | Demand=(18.41, 25.66) | Alloc=(7.75, 52.25)
Episode 140, Reward: -0.94, | Demand=(18.34, 25.36) | Alloc=(0.60, 0.60)
Episode 141, Reward: -1.26, | Demand=(18.76, 25.71) | Alloc=(0.60, 58.01)
Episode 142, Reward: -3.82, | Demand=(18.93, 25.31) | Alloc=(14.47, 45.53)
Episode 143, Reward: -0.90, | Demand=(22.73, 25.65) | Alloc=(1.84, 0.60)
Episode 144, Reward: -0.95, | Demand=(26.14, 19.75) | Alloc=(0.60, 0.60)
Episode 145, Reward: -0.49, | Demand=(26.10, 20.15) | Alloc=(0.60, 22.82)
Episode 146, Reward: -2.30, | Demand=(26.07, 20.16) | Alloc=(0.60, 58.62)
Episode 147, Reward: -1.07, | Demand=(25.79, 20.01) | Alloc=(54.15, 0.60)
Episode 148, Reward: -0.53, | Demand=(25.76, 20.33) | Alloc=(9.88, 3.56)
Episode 149, Reward: -0.47, | Demand=(25.95, 19.71) | Alloc=(26.68, 0.60)
Episode 150, Reward: -0.95, | Demand=(26.06, 19.46) | Alloc=(0.60, 0.60)
Episode 151, Reward: -1.03, | Demand=(25.92, 18.74) | Alloc=(4.99, 40.97)
Episode 152, Reward: -0.73, | Demand=(25.93, 19.18) | Alloc=(44.83, 0.60)
Episode 153, Reward: -0.95, | Demand=(25.67, 18.63) | Alloc=(0.60, 0.60)
Episode 154, Reward: -0.14, | Demand=(25.72, 18.80) | Alloc=(32.38, 27.62)
Episode 155, Reward: -2.31, | Demand=(25.50, 18.59) | Alloc=(0.60, 54.19)
Episode 156, Reward: -0.51, | Demand=(25.18, 18.32) | Alloc=(23.21, 36.79)
Episode 157, Reward: -2.89, | Demand=(25.51, 18.02) | Alloc=(0.60, 57.63)
Episode 158, Reward: -0.95, | Demand=(25.59, 18.55) | Alloc=(0.60, 0.60)
Episode 159, Reward: -0.94, | Demand=(25.69, 18.15) | Alloc=(0.60, 0.60)
Episode 160, Reward: -0.67, | Demand=(25.52, 18.29) | Alloc=(20.78, 39.22)
Episode 161, Reward: -3.23, | Demand=(25.00, 17.76) | Alloc=(0.59, 59.41)
Episode 162, Reward: -11.49, | Demand=(25.67, 18.67) | Alloc=(15.41, 44.59)
Episode 163, Reward: -0.57, | Demand=(25.43, 18.35) | Alloc=(22.16, 37.84)
Episode 164, Reward: -0.59, | Demand=(25.53, 18.43) | Alloc=(38.04, 0.60)
Episode 165, Reward: -0.49, | Demand=(25.50, 18.22) | Alloc=(30.90, 0.60)
Episode 166, Reward: -31.94, | Demand=(25.44, 18.55) | Alloc=(0.60, 59.40)
Episode 167, Reward: -0.50, | Demand=(25.36, 18.41) | Alloc=(31.55, 0.60)
Episode 168, Reward: -0.96, | Demand=(25.46, 25.54) | Alloc=(0.60, 50.60)
Episode 169, Reward: -0.04, | Demand=(25.35, 25.65) | Alloc=(28.21, 31.79)
Episode 170, Reward: -0.56, | Demand=(25.17, 25.54) | Alloc=(14.78, 0.60)
Episode 171, Reward: -0.95, | Demand=(25.05, 25.46) | Alloc=(0.60, 0.60)
Episode 172, Reward: -0.95, | Demand=(25.00, 25.12) | Alloc=(0.60, 0.60)
Episode 173, Reward: -0.06, | Demand=(25.08, 24.68) | Alloc=(27.15, 32.85)
Episode 174, Reward: -1.24, | Demand=(24.93, 25.01) | Alloc=(0.60, 55.90)
Episode 175, Reward: -15.87, | Demand=(24.66, 24.85) | Alloc=(0.60, 59.40)
Episode 176, Reward: -0.56, | Demand=(24.62, 25.11) | Alloc=(0.60, 15.09)
Episode 177, Reward: -0.59, | Demand=(24.64, 25.42) | Alloc=(0.60, 37.39)
Episode 178, Reward: -1.95, | Demand=(24.49, 25.05) | Alloc=(20.57, 39.43)
Episode 179, Reward: -1.39, | Demand=(24.79, 25.23) | Alloc=(0.59, 59.41)
Episode 180, Reward: -0.05, | Demand=(25.09, 25.33) | Alloc=(27.36, 32.64)
Episode 181, Reward: -0.95, | Demand=(24.99, 25.63) | Alloc=(0.60, 0.60)
Episode 182, Reward: -0.95, | Demand=(24.94, 25.67) | Alloc=(0.60, 0.60)
Episode 183, Reward: -1.34, | Demand=(24.97, 25.62) | Alloc=(0.60, 59.35)
