model,DSR_LTE_mean,DSR_NR_mean,Util_mean,onband_lte_5%,onband_nr_5%,onband_lte_10%,onband_nr_10%,onband_lte_15%,onband_nr_15%,DSR_LTE_std,DSR_NR_std,Util_std
DDPG,0.976695429518824,0.9799526509694374,0.767204260190328,0.29,0.92,0.48,1.0,0.92,1.0,0.04768572620508774,0.01918546251614847,0.08947938855381378
QSAC,0.9869713996280638,0.9897655804457796,0.7612600189844767,0.91,0.71,0.98,0.86,0.99,0.94,0.019293615797330552,0.019787339739575274,0.06311438999973867
SAC,0.9477621601013181,0.9505944381098452,0.7177960193951926,0.53,0.55,0.8,1.0,0.99,1.0,0.05355836477635755,0.03132736595306286,0.07554191935859052
TD3,0.9995797836599892,0.9658414026936885,0.770401931444804,0.12,0.74,0.94,1.0,0.99,1.0,0.004181099791775688,0.023778703534582356,0.09432867229904116
