model,step,alloc_lte,alloc_nr,demand_lte,demand_nr,surplus_lte,surplus_nr
QSAC,0,22.402917861938477,27.225048065185547,25.242176,25.837334,-2.839258138061524,1.3877140651855484
QSAC,1,22.544475555419922,27.176368713378906,25.656357,26.03038,-3.111881444580078,1.1459887133789053
QSAC,2,22.807727813720703,27.05233383178711,26.025877,26.096233,-3.218149186279298,0.9561008317871078
QSAC,3,23.004030227661133,27.070175170898438,26.07885,26.081865,-3.0748197723388664,0.988310170898437
QSAC,4,23.18678855895996,27.321733474731445,26.354599,26.079235,-3.1678104410400394,1.2424984747314447
QSAC,5,23.31014633178711,27.01949691772461,26.31326,26.06768,-3.0031136682128903,0.9518169177246101
QSAC,6,23.364376068115234,27.274940490722656,26.023819,26.1044,-2.659442931884765,1.170540490722658
QSAC,7,23.26585578918457,27.14411163330078,25.767332,26.15629,-2.5014762108154294,0.9878216333007828
QSAC,8,23.0941104888916,26.859010696411133,26.014769,26.129086,-2.9206585111083996,0.7299246964111319
QSAC,9,22.96653175354004,26.678789138793945,26.276686,26.132973,-3.3101542464599625,0.5458161387939455
QSAC,10,23.010414123535156,26.897016525268555,26.046343,26.030163,-3.035928876464844,0.866853525268553
QSAC,11,23.004215240478516,27.13884735107422,26.15467,25.94007,-3.150454759521484,1.1987773510742201
QSAC,12,22.912691116333008,27.25675392150879,25.85546,25.988516,-2.942768883666993,1.2682379215087884
QSAC,13,22.958877563476562,27.318981170654297,26.063812,26.036314,-3.104934436523436,1.282667170654296
QSAC,14,22.889745712280273,27.027912139892578,26.080547,26.014643,-3.190801287719726,1.0132691398925786
QSAC,15,22.99163055419922,27.077056884765625,25.918976,25.976421,-2.927345445800782,1.1006358847656266
QSAC,16,22.855045318603516,27.171579360961914,25.852604,25.966597,-2.997558681396484,1.204982360961914
QSAC,17,22.782062530517578,27.030014038085938,25.689562,25.820005,-2.9074994694824206,1.2100090380859392
QSAC,18,22.829204559326172,26.954593658447266,26.256508,25.91386,-3.4273034406738283,1.040733658447266
QSAC,19,22.877185821533203,26.834897994995117,25.962076,25.887817,-3.0848901784667966,0.9470809949951189
QSAC,20,23.021076202392578,27.079967498779297,25.970873,25.686369,-2.949796797607423,1.3935984987792978
QSAC,21,22.831398010253906,26.988658905029297,25.950846,25.748169,-3.1194479897460923,1.2404899050292961
QSAC,22,22.9505558013916,27.015003204345703,25.958857,25.848122,-3.0083011986083967,1.166881204345703
QSAC,23,22.897123336791992,26.90903663635254,25.858116,25.664629,-2.960992663208007,1.2444076363525376
QSAC,24,23.416030883789062,22.88284683227539,25.91179,20.22784,-2.4957591162109374,2.65500683227539
QSAC,25,23.03627586364746,23.403690338134766,25.936283,21.968609,-2.9000071363525386,1.435081338134765
QSAC,26,23.78619956970215,23.114431381225586,25.9317,21.080236,-2.145500430297851,2.0341953812255866
QSAC,27,23.287771224975586,20.37779426574707,25.844666,21.48407,-2.556894775024414,-1.1062757342529288
QSAC,28,22.883867263793945,22.77830696105957,25.944496,21.3741,-3.0606287362060556,1.4042069610595718
QSAC,29,23.25867462158203,21.37476348876953,25.760809,21.005753,-2.502134378417967,0.3690104887695327
QSAC,30,22.168865203857422,22.48480796813965,25.835735,21.042643,-3.666869796142578,1.4421649681396467
QSAC,31,23.636966705322266,20.067354202270508,25.807438,20.90798,-2.1704712946777356,-0.8406257977294906
QSAC,32,23.285049438476562,20.31673812866211,25.778008,20.646566,-2.4929585615234373,-0.3298278713378906
QSAC,33,23.27409553527832,21.532995223999023,25.794136,20.491589,-2.5200404647216814,1.0414062239990223
QSAC,34,23.344987869262695,20.831262588500977,25.80549,20.295605,-2.4605021307373036,0.5356575885009782
QSAC,35,23.285253524780273,20.849573135375977,25.699574,20.00275,-2.414320475219725,0.8468231353759776
QSAC,36,23.302749633789062,20.378494262695312,25.521868,19.801893,-2.219118366210939,0.5766012626953128
QSAC,37,23.210147857666016,20.192407608032227,25.334232,19.483986,-2.1240841423339845,0.708421608032225
QSAC,38,23.10013198852539,19.58258819580078,25.500004,19.17985,-2.39987201147461,0.40273819580078296
QSAC,39,23.169178009033203,19.066518783569336,25.57737,18.876774,-2.4081919909667953,0.18974478356933488
QSAC,40,23.322643280029297,18.761600494384766,25.567867,18.610146,-2.245223719970703,0.15145449438476533
